Subject,Course ,CRN,Course Title,Average Grade,Primary Instructor,,Credit Hours,Start Time,End Time,Days of Week
AAS,100,41758,Intro Asian American Studies,3.87,"Boonsripaisal, Simon",,3 hours.,9:00 AM,9:50 AM,F
AAS,100,47100,Intro Asian American Studies,3.9,"Uhall, Michael B",,3 hours.,12:00 PM,12:50 PM,F
AAS,100,47102,Intro Asian American Studies,3.3,"Kang, Yoonjung",,3 hours.,1:00 PM,1:50 PM,F
AAS,100,51248,Intro Asian American Studies,3.96,"Boonsripaisal, Simon",,3 hours.,10:00 AM,10:50 AM,F
AAS,100,51249,Intro Asian American Studies,3.76,"Uhall, Michael B",,3 hours.,11:00 AM,11:50 AM,F
AAS,100,51932,Intro Asian American Studies,3.24,"Kang, Yoonjung",,3 hours.,2:00 PM,2:50 PM,F
AAS,100,59818,Intro Asian American Studies,3.72,"Park, Doo Jae",,3 hours.,10:00 AM,10:50 AM,F
AAS,100,59819,Intro Asian American Studies,3.49,"Park, Doo Jae",,3 hours.,11:00 AM,11:50 AM,F
AAS,246,66200,Asian American Youth in Film,3.79,"Kwon, Soo Ah",,3 hours.,1:00 PM,1:50 PM,MW
AAS,287,58092,Food and Asian Americans,3.79,"Sharif, Lila A",,3 hours.,11:00 AM,12:20 PM,TR
AAS,370,67536,"Immigration, Law, and Rights",3.03,"Paik, Angela N",,3 hours.,3:30 PM,4:50 PM,TR
ABE,100,72060,Intro Agric & Biological Engrg,3.75,"Green-Miller, Angela",,3 hours.,9:00 AM,9:50 AM,F
ABE,199,55376,Water in the Global Environ,3.96,"Kalita, Prasanta K",,3 hours.,10:00 AM,10:50 AM,F
ABE,223,58927,ABE Principles: Machine Syst,3.4,"Grift, Tony E",,3 hours.,2:00 PM,2:50 PM,F
ABE,224,58931,ABE Principles: Soil & Water,3.59,"Kalita, Prasanta K",,3 hours.,9:00 AM,9:50 AM,F
ABE,430,64779,Project Management,3.83,"Davidson, Paul C",,3 hours.,10:00 AM,10:50 AM,F
ABE,436,68450,Renewable Energy Systems,2.97,"Wang, Xinlei",,3 hours.,2:00 PM,2:50 PM,F
ABE,436,68451,Renewable Energy Systems,3.76,"Wang, Xinlei",,3 hours.,11:00 AM,11:50 AM,F
ABE,488,57478,Bioprocessing Biomass for Fuel,3.79,"Singh, Vijay",,3 hours.,1:00 PM,1:50 PM,F
ABE,498,72232,Eng Design for Solar SmartHome,3.91,"Wang, Xinlei",,3 hours.,1:00 PM,1:50 PM,MW
ACCY,200,29670,Fundamentals of Accounting,3.16,"Silhan, Peter A",,3 hours.,3:00 PM,5:20 PM,M
ACCY,201,36478,Accounting and Accountancy I,2.89,"Fisher, Mitchell B",,3 hours.,3:00 PM,3:50 PM,W
ACCY,201,36482,Accounting and Accountancy I,2.53,"Fisher, Mitchell B",,3 hours.,4:00 PM,4:50 PM,W
ACCY,201,36484,Accounting and Accountancy I,2.51,"Fisher, Mitchell B",,3 hours.,9:30 AM,10:20 AM,R
ACCY,201,36486,Accounting and Accountancy I,2.46,"Fisher, Mitchell B",,3 hours.,11:00 AM,11:50 AM,R
ACCY,201,36487,Accounting and Accountancy I,2.81,"Fisher, Mitchell B",,3 hours.,12:00 PM,12:50 PM,MW
ACCY,201,36489,Accounting and Accountancy I,2.92,"Fisher, Mitchell B",,3 hours.,2:00 PM,2:50 PM,F
ACCY,201,36494,Accounting and Accountancy I,3.25,"Fisher, Mitchell B",,3 hours.,11:00 AM,11:50 AM,F
